ID,Geburtsjahr,Bildungsniveau,Familienstand,Einkommen,Kinder_zu_Hause,Teenager_zu_Hause,Datum_Kunde,Letzter_Kauf_Tage,Ausgaben_Wein,Ausgaben_Obst,Ausgaben_Fleisch,Ausgaben_Fisch,Ausgaben_Süßigkeiten,Ausgaben_Gold,Anzahl_Rabattkäufe,Anzahl_Webkäufe,Anzahl_Katalogkäufe,Anzahl_Ladeneinkäufe,Anzahl_WebBesuche_Monat,Kampagne_3_Akzeptiert,Kampagne_4_Akzeptiert,Kampagne_5_Akzeptiert,Kampagne_1_Akzeptiert,Kampagne_2_Akzeptiert,Beschwerde,Z_Kontaktkostenfaktor,Z_Umsatzfaktor,Antwort_Letzte_Kampagne,Alter,Gesamtausgaben
5524,1967, Hochschulabschluss   , Ledig              ,58138.0,0,0,2022-04-09,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,58,1617
2174,1964, Hochschulabschluss   , Ledig              ,46344.0,1,1,2024-08-03,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,61,27
4141,1975, Hochschulabschluss   , Zusammenlebend     ,71613.0,0,0,,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,50,776
6182,1994, Hochschulabschluss   , Zusammenlebend     ,26646.0,1,0,2024-10-02,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,31,53
5324,1991, Doktor               , Verheiratet        ,58293.0,1,0,,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,34,422
7446,1977, Master               , Zusammenlebend     ,62513.0,0,1,2023-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,48,716
965,1981, Hochschulabschluss   , Geschieden         ,55635.0,0,1,,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,44,590
6177,1995, Doktor               , Verheiratet        ,33454.0,1,0,2023-08-05,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,30,169
4855,1984, Doktor               , Zusammenlebend     ,30351.0,1,0,2023-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,41,46
5899,1960, Doktor               , Zusammenlebend     ,5648.0,1,1,,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,65,49
1994,1993, Hochschulabschluss   , Verheiratet        ,51381.5,1,0,,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,32,19
387,1986, Grundbildung         , Verheiratet        ,7500.0,0,0,,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,39,61
2125,1969, Hochschulabschluss   , Geschieden         ,63033.0,0,0,,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,56,1102
8180,1962, Master               , Geschieden         ,59354.0,1,1,,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,63,310
2569,1997, Hochschulabschluss   , Verheiratet        ,17323.0,0,0,2022-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,28,46
2114,1956, Doktor               , Ledig              ,82800.0,0,0,,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,69,1315
9736,1990, Hochschulabschluss   , Verheiratet        ,41850.0,1,1,,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,35,96
4939,1956, Hochschulabschluss   , Zusammenlebend     ,37760.0,0,0,,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,69,317
6565,1959, Master               , Verheiratet        ,76995.0,0,1,,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,66,1782
2278,1995, Zweiter Studienzyklus, Ledig              ,33812.0,1,0,2022-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,30,133
9360,1992, Hochschulabschluss   , Verheiratet        ,37040.0,0,0,2022-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,33,316
5376,1989, Hochschulabschluss   , Verheiratet        ,2447.0,1,0,2023-06-01,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,36,1730
1993,1959, Doktor               , Verheiratet        ,58607.0,0,1,,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,66,972
4047,1964, Doktor               , Verheiratet        ,65324.0,0,1,2024-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,61,544
1409,1961, Hochschulabschluss   , Zusammenlebend     ,40689.0,0,1,,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,64,444
7892,1979, Hochschulabschluss   , Ledig              ,18589.0,0,0,2023-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,46,75
2404,1986, Hochschulabschluss   , Verheiratet        ,53359.0,1,1,,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,39,257
5255,1996, Hochschulabschluss   , Ledig              ,51381.5,1,0,,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,29,637
9422,1999, Hochschulabschluss   , Verheiratet        ,38360.0,1,0,,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,26,131
1966,1975, Doktor               , Verheiratet        ,84618.0,0,0,,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,50,1672
6864,1999, Master               , Geschieden         ,10979.0,0,0,,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,26,30
3033,1973, Master               , Zusammenlebend     ,38620.0,0,0,2023-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,52,318
